[10450] 590002000, W, 0x1, 8    bytes, 56 65 72 73 69 6F 6E 31
[10459] 590108670, W, 0x8f, 44   bytes, 00 07 db 00 2d 00 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 32 00 00 96 00 00 00 99 59 66 06 96 00 00 00 99 59 66 06
[10459] 590108703, W, 0x67, 4    bytes, 00 07 db 20
[10459] 590109142, W, 0x66, 4    bytes, 00 06 db 00
[10459] 590109473, W, 0x69, 4    bytes, 00 0c db 00
[10459] 590109791, W, 0x68, 4    bytes, 00 0c db 00
[10459] 590110111, W, 0x57, 4    bytes, 00 0a db 00
[10459] 590110429, W, 0x58, 4    bytes, 00 06 db 00
[10459] 590110781, W, 0x79, 12   bytes, 00 02 db 03 00 00 00 00 00 00 00 00
[10459] 590111229, W, 0x7d, 12   bytes, 00 0b db 41 00 00 00 00 00 00 00 00
[10459] 590111255, W, 0x7e, 4    bytes, 00 85 ed 00
[10459] 590111277, W, 0x7f, 4    bytes, 00 85 ed 00
[10459] 590111311, W, 0x61, 56   bytes, 00 04 db 00 94 11 94 11 d0 07 00 00 00 84 d7 17 00 00 00 00 00 84 d7 17 d0 07 00 00 00 84 d7 17 50 46 94 11 10 27 00 00 90 d0 03 00 00 00 00 00 90 d0 03 00 00 00 00 00
[10459] 590111698, W, 0x59, 64   bytes, 00 06 db 03 b8 0b fa 18 01 00 00 00 00 08 00 00 08 04 e7 03 aa c0 03 00 00 fc 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
